stock_code,stock_country,stock_region,cyer_stock,stock_jurisdiction,fishery_type_2,age,brood_year,year,ocean_cohort
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1996,2001,29.40171
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1997,1999,674.0343
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1997,2000,430.9359
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1997,2001,250.9949
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1997,2002,24.53032
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1998,2000,621.2289
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1998,2001,400.6575
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1998,2002,162.7256
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1998,2003,11.03222
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1999,2001,614.8182
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1999,2002,350.2725
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1999,2003,154.9987
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1999,2004,30.46876
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2000,2002,354.787
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2000,2003,223.6623
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2000,2004,103.419
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2000,2005,12.1514
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2001,2003,880.1371
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2001,2004,571.1334
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2001,2005,291.8651
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2001,2006,43.19535
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2002,2004,719.2271
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2002,2005,422.3254
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2002,2006,146.026
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2002,2007,4.048711
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2003,2005,1545.113
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2003,2006,990.481
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2003,2007,434.7044
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2003,2008,56.41474
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2004,2006,214.6871
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2004,2007,140.1951
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2004,2008,37.88419
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2004,2009,1.003041
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2005,2007,999.6193
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2005,2008,571.3871
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2005,2009,219.3151
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2005,2010,10.15521
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2006,2008,887.3803
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2006,2009,557.134
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2006,2010,214.1035
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2006,2011,12.16047
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2007,2009,645.4968
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2007,2010,400.3314
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2007,2011,146.0138
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2007,2012,0
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2008,2010,676.7405
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2008,2011,431.1215
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2008,2012,153.8219
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2008,2013,12.01613
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2009,2011,1154.754
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2009,2012,687.4875
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2009,2013,252.6293
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2009,2014,4.284701
BQR,CA,ECVI,N,BC,Pre-Terminal,2,2010,2012,1086.003
BQR,CA,ECVI,N,BC,Pre-Terminal,3,2010,2013,698.0357
BQR,CA,ECVI,N,BC,Pre-Terminal,4,2010,2014,334.6994
BQR,CA,ECVI,N,BC,Pre-Terminal,5,2010,2015,27.41331
