"","stock_code","brood_year","age","Mat.Rate","Marine.Survival","Stock.Country","stock_name","area","ecoregion","RunType","Hatchery","Age","Wild","Code","Code2","calendar_year","season","location","sst_winter","sst_spring","CUTI_winter","CUTI_spring","seasonal_STI","Beuti_winter","Beuti_spring","BI","stand_BI"
"72","BQR",2013,2,0.1524,0.006606441,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2014,"Fall","45N",-0.702504076875735,1.26664919988783,-0.454992415866119,-0.13159948593315,0.699090455402759,-0.896712892806212,-0.475763288329083,0.325581395,-0.878757853299286
"73","BQR",2014,2,0.0619,0.011661896,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2015,"Fall","45N",2.75301174844701,2.1724689626693,-0.155062042632529,1.54223076558135,-0.425152189179108,0.698849653060023,0.601205560599004,0.413953488,-0.341402477820972
"74","BQR",2015,2,0.1579,0.003997939,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2016,"Fall","45N",1.87037888557907,2.58417681278593,-2.18400280274211,0.273279807943514,0.032872591946838,-0.169401149772632,0.269994135425967,0.237209302,-1.4161132287776
"75","BQR",2016,2,0.1011,0.011107959,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2017,"Fall","45N",0.129544339517016,1.10626316488517,-0.959581161423805,-1.34870614374532,0.407620140140794,-0.46493187888165,-0.239100833914724,0.479069767,0.0545435880009114
"76","BQR",2017,2,0.0659,0.011117242,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2018,"Fall","45N",0.559128763324464,1.43758205024297,0.206618701560917,-0.600666960546358,-0.216959106849132,0.570597866745797,-0.427618720396751,0.762790698,1.77973716702548
"77","BQR",2018,2,0.0277,0.011167299,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2019,"Fall","45N",0.668499282509399,0.927742852150524,0.524192037925895,0.576939278351012,-0.216959106849132,0.648238464267205,0.685313540721754,0.846511628,2.28881067935638
"78","BQR",2019,2,0.0925,0.008572495,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2020,"Fall","45N",-0.394565503250554,1.11559835776812,-0.433820860108453,-0.630292274732455,1.03219938713072,-0.180019846058864,-0.0124926667794073,0.744186047,1.66660972051645
"79","CHI",1981,2,0.1622,0.30550812,"CA","Chilliwack River Fall","Fraser River",2,"Fall","Chilliwack","Age 0","Hatchery",3,17,1982,"Fall","45N",-0.863453186835536,-0.698601987852723,NA,NA,-0.258597723315128,NA,NA,0.669767442,1.21409992839976
"80","CHI",1982,2,0.0487,0.05026121,"CA","Chilliwack River Fall","Fraser River",2,"Fall","Chilliwack","Age 0","Hatchery",3,17,1983,"Fall","45N",0.874905634148351,1.51802664021625,NA,NA,0.615813222470769,NA,NA,0.213953488,-1.55752253843403
"81","CHI",1983,2,0.0155,0.094609525,"CA","Chilliwack River Fall","Fraser River",2,"Fall","Chilliwack","Age 0","Hatchery",3,17,1984,"Fall","45N",0.264271833648903,-0.169857084157089,NA,NA,1.40694693532468,NA,NA,0.186046512,-1.72721370515727
